abuse;status;unemrate;age;educ;married;famsize;white;northeast;midwest;south;cigtax;employ
1;1;4;50;4;1;1;1;0;1;0;38;0
0;3;4;37;12;1;5;1;0;1;0;38;1
0;3;4;53;9;1;3;1;0;1;0;38;1
0;3;3,299999952;59;11;1;1;1;1;0;0;26;1
0;3;3,299999952;43;10;1;1;1;1;0;0;26;1
0;3;3,299999952;38;10;1;1;1;1;0;0;26;1
0;3;6,800000191;34;10;1;4;1;0;1;0;20;1
0;1;6,800000191;45;2;1;2;1;0;1;0;20;0
0;1;6,800000191;47;5;1;2;0;0;1;0;20;0
0;3;6,800000191;31;12;1;1;1;0;1;0;20;1
0;3;6,800000191;43;18;1;4;1;0;1;0;20;1
1;3;6,800000191;46;12;1;1;1;0;1;0;20;1
0;3;6,800000191;36;12;1;3;1;0;1;0;20;1
0;3;6;29;16;1;2;1;0;1;0;14;1
0;3;6;32;15;1;3;1;0;1;0;14;1
0;3;6;37;12;1;4;1;0;1;0;14;1
0;3;6;27;12;1;4;1;0;1;0;14;1
0;3;6;55;11;1;3;1;0;1;0;14;1
0;3;6;38;16;1;2;1;0;1;0;14;1
0;3;6;25;12;1;3;1;0;1;0;14;1
0;3;6;33;12;1;1;1;0;1;0;14;1
0;1;6;36;12;0;1;1;0;1;0;14;0
0;3;6;46;7;1;6;1;0;1;0;14;1
0;3;5,699999809;53;16;1;3;1;0;1;0;13;1
0;3;5,699999809;56;18;1;3;1;0;1;0;13;1
0;3;5,699999809;38;16;1;3;1;0;1;0;13;1
0;3;5,699999809;42;16;1;4;0;0;1;0;13;1
0;3;5,699999809;53;18;1;1;1;0;1;0;13;1
0;3;5,699999809;50;13;1;4;0;0;1;0;13;1
0;3;5,699999809;40;12;1;4;0;0;1;0;13;1
0;3;5,699999809;56;18;1;3;1;0;1;0;13;1
0;3;5,699999809;42;16;1;6;1;0;1;0;13;1
0;3;5,699999809;43;16;1;2;1;0;1;0;13;1
0;3;5,699999809;28;12;1;1;1;0;1;0;13;1
